sk_Datadecadastro,Datadecadastro,ANO,MES,DIA
1ae2eec5-5887-4fe0-bb79-698e8cd7f8a6,16/02/2023,2023,2,16
354bac56-cf75-4318-ad48-c207f5552199,15/03/2023,2023,3,15
2ef53f64-6567-48fb-ae47-87a9c293a673,31/03/2023,2023,3,31
63a93181-26e6-46f0-bd89-da30f977e681,14/05/2023,2023,5,14
560ee421-623b-4047-b07e-2b636943e5af,15/11/2023,2023,11,15
24b8cac3-3f63-4d6e-a2b3-b8a4cea61c64,10/01/2019,2019,1,10
682059c4-d2c8-4135-83bf-dae21b7dc050,20/01/2019,2019,1,20
660a3e01-c8ba-4417-814f-0133a42cac65,22/06/2019,2019,6,22
dc2baf21-92ca-4672-a731-a14921452522,15/11/2019,2019,11,15
016b29e8-4d22-431f-9e61-06c7ae3cda70,26/11/2019,2019,11,26
837c6f8a-e6c7-4d04-8503-67c1fe70b879,14/01/2020,2020,1,14
34c119b7-daba-493f-b06c-66a43a46d954,01/03/2020,2020,3,1
5f25a834-056c-41eb-84bd-8e6b852aba2a,08/04/2020,2020,4,8
8c7e5ced-9d39-4f92-b56e-36b742f1315b,09/05/2020,2020,5,9
91c80b79-6a78-41a4-841d-43e9bbb3416d,26/05/2020,2020,5,26
93201b4d-a6e2-48ea-b80a-b562a4ae6a77,01/07/2020,2020,7,1
58285193-c8d9-4484-82cc-eab993d8d825,15/07/2020,2020,7,15
0c0b9c52-1f14-48b3-9f32-3fbbca77b058,09/09/2020,2020,9,9
50a38b19-422c-4f7b-8423-5f6f42945c0e,28/02/2021,2021,2,28
13914b1c-75fe-4c31-9271-9c2511ea394b,30/05/2021,2021,5,30
0c73fca2-faa2-4872-9b57-2f377d3bc35e,17/07/2021,2021,7,17
84dfa858-3cb2-4c6c-a458-991da51c540f,05/08/2021,2021,8,5
47927d05-4262-48db-842e-8555a87478c4,10/11/2021,2021,11,10
55ce4d93-8837-42fb-b528-932fbbe55047,07/01/2022,2022,1,7
4caeef61-1edc-4666-b76d-1c269e7cfccc,09/01/2022,2022,1,9
c80da5b8-f292-4dfd-927b-2ba775cdccf7,10/03/2022,2022,3,10
9abd7508-366e-4b7c-8406-b5af11bd3baa,29/05/2022,2022,5,29
fcfd361f-8166-4126-9a77-ec351d85701e,15/07/2022,2022,7,15
b1f63b63-cd52-425f-a6a5-c732b0124435,21/07/2022,2022,7,21
9a1833d4-6ef4-429c-b20a-0f734ee9f7b4,07/09/2022,2022,9,7
aacc4119-0050-4e3a-abb4-3e987322cb16,21/11/2022,2022,11,21
7298f93b-1e93-4dd2-9e28-7ee233d02df2,09/12/2022,2022,12,9
76e0c1bb-ebd0-4669-81d1-01d89e07a8d3,17/02/2023,2023,2,17
89097956-8e8d-477d-8d34-f339f0f350b5,14/04/2023,2023,4,14
bc30df27-f18e-4210-89dc-32ff3375fc2c,16/04/2023,2023,4,16
6d3eb7f0-8a39-45d5-82d4-5b01612e1bd9,29/04/2023,2023,4,29
73501ebd-c2d4-4a3d-abbe-43ac668beebe,07/05/2023,2023,5,7
68b66d50-cc0c-4af1-922e-4b9a2617c7de,10/05/2023,2023,5,10
787b3139-9ac6-4fd5-8ed6-f3bad1ef343d,02/06/2023,2023,6,2
12fd7968-f5bd-4fe5-8b6d-69d5e938bd0b,30/07/2023,2023,7,30
0c332e77-58ca-445d-a98d-8ed7aa067b8c,01/08/2023,2023,8,1
93df138f-87fa-439e-b6df-e4ad36f397f2,06/08/2023,2023,8,6
3d66dced-9bb9-459e-a31f-cf1357713c0e,21/08/2023,2023,8,21
4dbdcd6b-f4d6-4d9e-90fd-ffa5a966657a,18/12/2023,2023,12,18
2900f193-1d25-4a3b-bd06-80c1b0c7a258,04/01/2019,2019,1,4
87bbccef-81d0-45c3-a44f-61fc9eb0ad14,29/01/2019,2019,1,29
0578c7aa-8776-4a51-a7bd-154aeb13bab0,22/02/2019,2019,2,22
0bceab27-6a67-4f6a-923b-c99591a0106a,26/03/2019,2019,3,26
1e3b2912-c63b-49ec-a3b6-1ab017947a1b,26/04/2019,2019,4,26
3d30a7be-da2e-4cfd-bb67-32e3a875676a,23/06/2019,2019,6,23
44312c84-2648-4e98-b5f0-b3aa5408b498,31/07/2019,2019,7,31
91e37494-a504-4edf-a846-79d8303aaaad,01/12/2019,2019,12,1
d71b65e4-09a2-45ef-b260-062404e11632,03/04/2020,2020,4,3
711b7664-83c6-4ad6-a2dc-c41db6426767,02/06/2020,2020,6,2
44c5c811-5027-4764-939a-c7cdbd68fee2,19/06/2020,2020,6,19
53a7cb5a-ee67-4445-b263-68b6546733c4,08/09/2020,2020,9,8
1a486d0f-1d17-40a5-9d6e-8e2f6a3ea7f8,30/09/2020,2020,9,30
6fce5b69-98a9-44a4-b0db-318871203244,18/10/2020,2020,10,18
25f7f834-4ebe-45c7-8aab-b08df8aaa1b6,01/11/2020,2020,11,1
0961c7be-a9bc-4f21-bb56-2a762580e050,11/11/2020,2020,11,11
dca1c538-cc90-46ae-b69c-f9c01593d53f,19/11/2020,2020,11,19
51992a69-fb9d-4495-b6bc-c0188a47ca86,27/12/2020,2020,12,27
57a3d116-d24f-44f1-bd96-19517bc6b774,01/02/2021,2021,2,1
4143f397-4840-4756-9846-4da1be4fafc9,29/05/2021,2021,5,29
6f2e2477-d318-43ea-a4e3-ede06e573c5f,01/07/2021,2021,7,1
a09c813e-303f-4014-a948-38d7c0fa77cc,24/07/2021,2021,7,24
8c30a0db-22fe-4bee-9467-5e35b71e69dd,30/10/2021,2021,10,30
10d0046b-6eba-4e52-b175-a465f18bc077,01/01/2022,2022,1,1
55621e65-158e-475b-94f9-35e6c332b08a,21/02/2022,2022,2,21
f5863173-ed80-464c-9357-40d0046011b2,07/06/2022,2022,6,7
c17d050d-7d2d-4a5f-aac4-11fa618bbd76,09/06/2022,2022,6,9
338005d8-f1d0-4ae6-beda-201425ad1190,20/06/2022,2022,6,20
bbeb0cf7-ec6c-40e8-9907-3e9a6eb26d2b,16/09/2022,2022,9,16
37f6900e-5254-4804-8f6d-9d3b32139525,09/11/2022,2022,11,9
d4ff93ff-3ee0-4f80-ab3c-9c59aeed5c00,05/12/2022,2022,12,5
a95c2747-5943-4420-852e-09c86b1f126e,04/03/2023,2023,3,4
23390848-e914-4e72-a1a1-021afe6548e4,13/03/2023,2023,3,13
a08e589c-89d6-4a09-a998-dd119e7159cb,03/05/2023,2023,5,3
e29ab2d0-d280-44bc-8fe3-7fef2ee0bd00,05/05/2023,2023,5,5
bf1f3310-0192-45f3-baae-6a3b768bc69c,19/05/2023,2023,5,19
d31b8679-bb75-4a4d-8aed-8feb2ac01c6e,29/06/2023,2023,6,29
d3baa007-26b3-4fe5-8f0b-7cc319bc3d57,17/07/2023,2023,7,17
08afe671-1b5d-4a26-9a51-8c109ad23e88,09/08/2023,2023,8,9
463fa6d3-63e8-4622-93f4-74d046efdfdd,29/11/2023,2023,11,29
5d6f589b-6b4c-4b2b-99c9-1cfd3586f3c4,03/12/2023,2023,12,3
